istasyon_no,yil,ay,gun,saat,maksimum_sicaklik_derece
19141,2018,7,24,13,27.9
19141,2018,7,24,14,24.8
19141,2018,7,24,15,25.7
19141,2018,7,24,16,25.9
19141,2018,7,24,17,25.4
19141,2018,7,24,18,24.5
19141,2018,7,24,19,23.4
19141,2018,7,24,20,23.4
19141,2018,7,24,21,21.1
19141,2018,7,24,22,20.6
19141,2018,7,24,23,19.9
19141,2018,7,25,0,20.1
19141,2018,7,25,1,19.7
19141,2018,7,25,2,19.4
19141,2018,7,25,3,18.8
19141,2018,7,25,4,19.9
19141,2018,7,25,5,21.5
19141,2018,7,25,6,22.9
19141,2018,7,25,7,25.4
19141,2018,7,25,8,26.8
19141,2018,7,25,9,27.6
19141,2018,7,25,10,28.4
19141,2018,7,25,11,29.1
19141,2018,7,25,12,28.4
19141,2018,7,25,13,28.3
19141,2018,7,25,14,28.5
19141,2018,7,25,15,28.8
19141,2018,7,25,16,28.8
19141,2018,7,25,17,27.8
19141,2018,7,25,18,26.4
19141,2018,7,25,19,24.8
19141,2018,7,25,20,23.2
19141,2018,7,25,21,22.0
19141,2018,7,25,22,20.6
19141,2018,7,25,23,19.5
19141,2018,7,26,0,18.8
19141,2018,7,26,1,17.7
19141,2018,7,26,2,17.5
19141,2018,7,26,3,16.9
19141,2018,7,26,4,20.3
19141,2018,7,26,5,23.0
19141,2018,7,26,6,24.7
19141,2018,7,26,7,26.6
19141,2018,7,26,8,28.8
19141,2018,7,26,9,29.9
19141,2018,7,26,10,31.1
19141,2018,7,26,11,31.5
19141,2018,7,26,12,32.1
19141,2018,7,26,13,31.0
19141,2018,7,26,14,26.1
19141,2018,7,26,15,24.0
19141,2018,7,26,16,24.7
19141,2018,7,26,17,24.7
19141,2018,7,26,18,23.8
19141,2018,7,26,19,21.9
19141,2018,7,26,20,20.9
19141,2018,7,26,21,19.6
19141,2018,7,26,22,18.9
19141,2018,7,26,23,18.4
19141,2018,7,27,0,18.0
19141,2018,7,27,1,17.6
19141,2018,7,27,2,17.0
19141,2018,7,27,3,16.8
19141,2018,7,27,4,20.1
19141,2018,7,27,5,21.8
19141,2018,7,27,6,23.9
19141,2018,7,27,7,26.0
19141,2018,7,27,8,29.0
19141,2018,7,27,9,30.9
19141,2018,7,27,10,31.7
19141,2018,7,27,11,31.8
19141,2018,7,27,12,31.2
19141,2018,7,27,13,30.3
19141,2018,7,27,14,29.8
19141,2018,7,27,15,29.6
19141,2018,7,27,16,29.1
19141,2018,7,27,17,26.1
19141,2018,7,27,18,23.4
19141,2018,7,27,19,22.6
19141,2018,7,27,20,22.0
19141,2018,7,27,21,21.7
19141,2018,7,27,22,19.5
19141,2018,7,27,23,19.0
19141,2018,7,28,0,18.0
19141,2018,7,28,1,18.0
19141,2018,7,28,2,17.5
19141,2018,7,28,3,16.8
19141,2018,7,28,4,19.3
19141,2018,7,28,5,21.0
19141,2018,7,28,6,22.9
19141,2018,7,28,7,25.5
19141,2018,7,28,8,27.7
19141,2018,7,28,9,28.8
19141,2018,7,28,10,29.5
19141,2018,7,28,11,30.3
19141,2018,7,28,12,30.4
19141,2018,7,28,13,31.0
19141,2018,7,28,14,31.2
19141,2018,7,28,15,30.9
19141,2018,7,28,16,30.8
19141,2018,7,28,17,29.1
19141,2018,7,28,18,27.0
19141,2018,7,28,19,25.9
19141,2018,7,28,20,24.6
19141,2018,7,28,21,22.7
19141,2018,7,28,22,21.9
19141,2018,7,28,23,20.5
19141,2018,7,29,0,19.5
19141,2018,7,29,1,18.7
19141,2018,7,29,2,18.2
19141,2018,7,29,3,17.5
19141,2018,7,29,4,20.8
19141,2018,7,29,5,23.0
19141,2018,7,29,6,24.6
19141,2018,7,29,7,26.7
19141,2018,7,29,8,28.4
19141,2018,7,29,9,29.6
19141,2018,7,29,10,31.0
19141,2018,7,29,11,32.0
19141,2018,7,29,12,33.3
19141,2018,7,29,13,33.4
19141,2018,7,29,14,33.0
19141,2018,7,29,15,32.0
19141,2018,7,29,16,30.1
19141,2018,7,29,17,28.7
19141,2018,7,29,18,26.8
19141,2018,7,29,19,25.7
19141,2018,7,29,20,24.7
19141,2018,7,29,21,23.5
19141,2018,7,29,22,22.6
19141,2018,7,29,23,20.8
19141,2018,7,30,0,20.7
19141,2018,7,30,1,20.1
19141,2018,7,30,2,19.3
19141,2018,7,30,3,18.8
19141,2018,7,30,4,21.3
19141,2018,7,30,5,23.9
19141,2018,7,30,6,25.2
19141,2018,7,30,7,27.7
19141,2018,7,30,8,29.1
19141,2018,7,30,9,31.0
19141,2018,7,30,10,32.3
19141,2018,7,30,11,33.6
19141,2018,7,30,12,34.1
19141,2018,7,30,13,34.2
19141,2018,7,30,14,33.8
19141,2018,7,30,15,31.8
19141,2018,7,30,16,30.4
19141,2018,7,30,17,29.6
19141,2018,7,30,18,27.8
19141,2018,7,30,19,27.0
19141,2018,7,30,20,25.9
19141,2018,7,30,21,25.3
19141,2018,7,30,22,24.7
19141,2018,7,30,23,24.6
19141,2018,7,31,0,23.9
19141,2018,7,31,1,23.6
19141,2018,7,31,2,22.7
19141,2018,7,31,3,21.3
19141,2018,7,31,4,23.3
19141,2018,7,31,5,24.3
19141,2018,7,31,6,25.7
19141,2018,7,31,7,27.5
19141,2018,7,31,8,29.2
19141,2018,7,31,9,29.3
19141,2018,7,31,10,28.3
19141,2018,7,31,11,26.6
19141,2018,7,31,12,27.7
19141,2018,7,31,13,27.6
19141,2018,7,31,14,24.0
19141,2018,7,31,15,23.1
19141,2018,7,31,16,23.3
19141,2018,7,31,17,23.3
19141,2018,7,31,18,22.3
19141,2018,7,31,19,22.0
19141,2018,7,31,20,21.1
19141,2018,7,31,21,20.0
19141,2018,7,31,22,19.5
19141,2018,7,31,23,18.7
19141,2018,8,1,0,18.1
19141,2018,8,1,1,18.1
19141,2018,8,1,2,17.6
19141,2018,8,1,3,17.6
19141,2018,8,1,4,18.8
19141,2018,8,1,5,20.6
19141,2018,8,1,6,22.4
19141,2018,8,1,7,25.4
19141,2018,8,1,8,27.8
19141,2018,8,1,9,29.6
19141,2018,8,1,10,31.2
19141,2018,8,1,11,32.6
19141,2018,8,1,12,32.7
19141,2018,8,1,13,30.8
19141,2018,8,1,14,31.0
19141,2018,8,1,15,31.1
19141,2018,8,1,16,29.2
19141,2018,8,1,17,27.9
19141,2018,8,1,18,26.7
19141,2018,8,1,19,25.8
19141,2018,8,1,20,24.7
19141,2018,8,1,21,24.7
19141,2018,8,1,22,23.8
19141,2018,8,1,23,23.1
19141,2018,8,2,0,22.7
19141,2018,8,2,1,21.9
19141,2018,8,2,2,21.2
19141,2018,8,2,3,20.6
19141,2018,8,2,4,23.2
19141,2018,8,2,5,24.6
19141,2018,8,2,6,26.2
19141,2018,8,2,7,27.7
19141,2018,8,2,8,27.8
19141,2018,8,2,9,30.1
19141,2018,8,2,10,30.4
19141,2018,8,2,11,32.2
19141,2018,8,2,12,32.5
19141,2018,8,2,13,32.5
19141,2018,8,2,14,29.8
19141,2018,8,2,15,26.5
19141,2018,8,2,16,28.4
19141,2018,8,2,17,27.9
19141,2018,8,2,18,26.6
19141,2018,8,2,19,25.9
19141,2018,8,2,20,24.7
19141,2018,8,2,21,23.8
19141,2018,8,2,22,23.3
19141,2018,8,2,23,23.0
19141,2018,8,3,0,22.4
19141,2018,8,3,1,21.8
19141,2018,8,3,2,19.9
19141,2018,8,3,3,19.5
19141,2018,8,3,4,22.4
19141,2018,8,3,5,24.1
19141,2018,8,3,6,25.0
19141,2018,8,3,7,26.9
19141,2018,8,3,8,28.2
19141,2018,8,3,9,29.6
19141,2018,8,3,10,31.0
19141,2018,8,3,11,32.1
