istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
19141,2018,7,20,2,81.0
19141,2018,7,20,3,74.0
19141,2018,7,20,4,74.0
19141,2018,7,20,5,63.0
19141,2018,7,20,6,62.0
19141,2018,7,20,7,55.0
19141,2018,7,20,8,56.0
19141,2018,7,20,9,50.0
19141,2018,7,20,10,52.0
19141,2018,7,20,11,48.0
19141,2018,7,20,12,51.0
19141,2018,7,20,13,51.0
19141,2018,7,20,14,50.0
19141,2018,7,20,15,50.0
19141,2018,7,20,16,51.0
19141,2018,7,20,17,55.0
19141,2018,7,20,18,62.0
19141,2018,7,20,19,67.0
19141,2018,7,20,20,72.0
19141,2018,7,20,21,77.0
19141,2018,7,20,22,82.0
19141,2018,7,20,23,88.0
19141,2018,7,21,0,89.0
19141,2018,7,21,1,91.0
19141,2018,7,21,2,92.0
19141,2018,7,21,3,94.0
19141,2018,7,21,4,88.0
19141,2018,7,21,5,79.0
19141,2018,7,21,6,73.0
19141,2018,7,21,7,57.0
19141,2018,7,21,8,50.0
19141,2018,7,21,9,42.0
19141,2018,7,21,10,38.0
19141,2018,7,21,11,35.0
19141,2018,7,21,12,33.0
19141,2018,7,21,13,35.0
19141,2018,7,21,14,40.0
19141,2018,7,21,15,48.0
19141,2018,7,21,16,48.0
19141,2018,7,21,17,56.0
19141,2018,7,21,18,63.0
19141,2018,7,21,19,67.0
19141,2018,7,21,20,73.0
19141,2018,7,21,21,75.0
19141,2018,7,21,22,78.0
19141,2018,7,21,23,81.0
19141,2018,7,22,0,87.0
19141,2018,7,22,1,88.0
19141,2018,7,22,2,90.0
19141,2018,7,22,3,92.0
19141,2018,7,22,4,89.0
19141,2018,7,22,5,72.0
19141,2018,7,22,6,67.0
19141,2018,7,22,7,56.0
19141,2018,7,22,8,48.0
19141,2018,7,22,9,46.0
19141,2018,7,22,10,41.0
19141,2018,7,22,11,36.0
19141,2018,7,22,12,30.0
19141,2018,7,22,13,35.0
19141,2018,7,22,14,40.0
19141,2018,7,22,15,43.0
19141,2018,7,22,16,42.0
19141,2018,7,22,17,46.0
19141,2018,7,22,18,50.0
19141,2018,7,22,19,57.0
19141,2018,7,22,20,63.0
19141,2018,7,22,21,65.0
19141,2018,7,22,22,69.0
19141,2018,7,22,23,75.0
19141,2018,7,23,0,82.0
19141,2018,7,23,1,83.0
19141,2018,7,23,2,82.0
19141,2018,7,23,3,84.0
19141,2018,7,23,4,79.0
19141,2018,7,23,5,67.0
19141,2018,7,23,6,54.0
19141,2018,7,23,7,49.0
19141,2018,7,23,8,40.0
19141,2018,7,23,9,32.0
19141,2018,7,23,10,26.0
19141,2018,7,23,11,27.0
19141,2018,7,23,12,26.0
19141,2018,7,23,13,25.0
19141,2018,7,23,14,27.0
19141,2018,7,23,15,26.0
19141,2018,7,23,16,34.0
19141,2018,7,23,17,38.0
19141,2018,7,23,18,45.0
19141,2018,7,23,19,50.0
19141,2018,7,23,20,55.0
19141,2018,7,23,21,58.0
19141,2018,7,23,22,58.0
19141,2018,7,23,23,62.0
19141,2018,7,24,0,65.0
19141,2018,7,24,1,70.0
19141,2018,7,24,2,73.0
19141,2018,7,24,3,72.0
19141,2018,7,24,4,68.0
19141,2018,7,24,5,61.0
19141,2018,7,24,6,60.0
19141,2018,7,24,7,53.0
19141,2018,7,24,8,56.0
19141,2018,7,24,9,68.0
19141,2018,7,24,10,50.0
19141,2018,7,24,11,45.0
19141,2018,7,24,12,47.0
19141,2018,7,24,13,51.0
19141,2018,7,24,14,68.0
19141,2018,7,24,15,61.0
19141,2018,7,24,16,61.0
19141,2018,7,24,17,68.0
19141,2018,7,24,18,67.0
19141,2018,7,24,19,70.0
19141,2018,7,24,20,82.0
19141,2018,7,24,21,95.0
19141,2018,7,24,22,95.0
19141,2018,7,24,23,96.0
19141,2018,7,25,0,98.0
19141,2018,7,25,1,98.0
19141,2018,7,25,2,98.0
19141,2018,7,25,3,98.0
19141,2018,7,25,4,98.0
19141,2018,7,25,5,89.0
19141,2018,7,25,6,82.0
19141,2018,7,25,7,70.0
19141,2018,7,25,8,59.0
19141,2018,7,25,9,53.0
19141,2018,7,25,10,48.0
19141,2018,7,25,11,48.0
19141,2018,7,25,12,48.0
19141,2018,7,25,13,49.0
19141,2018,7,25,14,46.0
19141,2018,7,25,15,45.0
19141,2018,7,25,16,46.0
19141,2018,7,25,17,49.0
19141,2018,7,25,18,56.0
19141,2018,7,25,19,66.0
19141,2018,7,25,20,71.0
19141,2018,7,25,21,75.0
19141,2018,7,25,22,78.0
19141,2018,7,25,23,80.0
19141,2018,7,26,0,83.0
19141,2018,7,26,1,87.0
19141,2018,7,26,2,89.0
19141,2018,7,26,3,92.0
19141,2018,7,26,4,89.0
19141,2018,7,26,5,72.0
19141,2018,7,26,6,71.0
19141,2018,7,26,7,58.0
19141,2018,7,26,8,49.0
19141,2018,7,26,9,43.0
19141,2018,7,26,10,38.0
19141,2018,7,26,11,39.0
19141,2018,7,26,12,37.0
19141,2018,7,26,13,43.0
19141,2018,7,26,14,66.0
19141,2018,7,26,15,69.0
19141,2018,7,26,16,66.0
19141,2018,7,26,17,63.0
19141,2018,7,26,18,67.0
19141,2018,7,26,19,72.0
19141,2018,7,26,20,78.0
19141,2018,7,26,21,80.0
19141,2018,7,26,22,85.0
19141,2018,7,26,23,84.0
19141,2018,7,27,0,86.0
19141,2018,7,27,1,89.0
19141,2018,7,27,2,90.0
19141,2018,7,27,3,91.0
19141,2018,7,27,4,89.0
19141,2018,7,27,5,76.0
19141,2018,7,27,6,71.0
19141,2018,7,27,7,60.0
19141,2018,7,27,8,54.0
19141,2018,7,27,9,42.0
19141,2018,7,27,10,35.0
19141,2018,7,27,11,40.0
19141,2018,7,27,12,41.0
19141,2018,7,27,13,46.0
19141,2018,7,27,14,42.0
19141,2018,7,27,15,49.0
19141,2018,7,27,16,54.0
19141,2018,7,27,17,61.0
19141,2018,7,27,18,69.0
19141,2018,7,27,19,71.0
19141,2018,7,27,20,73.0
19141,2018,7,27,21,76.0
19141,2018,7,27,22,81.0
19141,2018,7,27,23,83.0
19141,2018,7,28,0,87.0
19141,2018,7,28,1,86.0
19141,2018,7,28,2,88.0
19141,2018,7,28,3,90.0
19141,2018,7,28,4,88.0
19141,2018,7,28,5,79.0
19141,2018,7,28,6,73.0
19141,2018,7,28,7,63.0
19141,2018,7,28,8,56.0
19141,2018,7,28,9,45.0
19141,2018,7,28,10,43.0
19141,2018,7,28,11,41.0
19141,2018,7,28,12,44.0
19141,2018,7,28,13,41.0
19141,2018,7,28,14,40.0
19141,2018,7,28,15,39.0
19141,2018,7,28,16,44.0
19141,2018,7,28,17,52.0
19141,2018,7,28,18,60.0
19141,2018,7,28,19,62.0
19141,2018,7,28,20,67.0
19141,2018,7,28,21,74.0
19141,2018,7,28,22,77.0
19141,2018,7,28,23,80.0
19141,2018,7,29,0,84.0
19141,2018,7,29,1,86.0
19141,2018,7,29,2,88.0
19141,2018,7,29,3,89.0
19141,2018,7,29,4,87.0
19141,2018,7,29,5,77.0
19141,2018,7,29,6,70.0
19141,2018,7,29,7,62.0
19141,2018,7,29,8,50.0
19141,2018,7,29,9,43.0
19141,2018,7,29,10,34.0
19141,2018,7,29,11,32.0
19141,2018,7,29,12,32.0
19141,2018,7,29,13,33.0
19141,2018,7,29,14,36.0
19141,2018,7,29,15,45.0
19141,2018,7,29,16,45.0
19141,2018,7,29,17,54.0
19141,2018,7,29,18,63.0
19141,2018,7,29,19,65.0
19141,2018,7,29,20,68.0
19141,2018,7,29,21,73.0
19141,2018,7,29,22,77.0
19141,2018,7,29,23,79.0
19141,2018,7,30,0,84.0
19141,2018,7,30,1,84.0
19141,2018,7,30,2,87.0
19141,2018,7,30,3,88.0
19141,2018,7,30,4,86.0
19141,2018,7,30,5,74.0
19141,2018,7,30,7,62.0
19141,2018,7,30,8,52.0
19141,2018,7,30,9,42.0
19141,2018,7,30,10,37.0
19141,2018,7,30,11,33.0
19141,2018,7,30,12,33.0
19141,2018,7,30,13,33.0
19141,2018,7,30,14,41.0
19141,2018,7,30,15,46.0
19141,2018,7,30,16,48.0
19141,2018,7,30,17,51.0
19141,2018,7,30,18,59.0
19141,2018,7,30,19,65.0
19141,2018,7,30,20,69.0
19141,2018,7,30,21,70.0
19141,2018,7,30,22,72.0
19141,2018,7,30,23,73.0
19141,2018,7,31,0,74.0
19141,2018,7,31,1,85.0
19141,2018,7,31,2,85.0
19141,2018,7,31,3,90.0
19141,2018,7,31,4,87.0
19141,2018,7,31,5,80.0
19141,2018,7,31,6,76.0
19141,2018,7,31,7,68.0
19141,2018,7,31,8,60.0
19141,2018,7,31,9,57.0
19141,2018,7,31,10,66.0
19141,2018,7,31,11,78.0
19141,2018,7,31,12,73.0
19141,2018,7,31,13,80.0
19141,2018,7,31,14,91.0
19141,2018,7,31,15,98.0
19141,2018,7,31,16,93.0
19141,2018,7,31,17,96.0
19141,2018,7,31,18,96.0
19141,2018,7,31,19,97.0
19141,2018,7,31,20,96.0
19141,2018,7,31,21,98.0
19141,2018,7,31,22,98.0
19141,2018,7,31,23,98.0
19141,2018,8,1,0,98.0
19141,2018,8,1,1,98.0
19141,2018,8,1,2,98.0
19141,2018,8,1,3,98.0
19141,2018,8,1,4,98.0
19141,2018,8,1,5,94.0
19141,2018,8,1,6,91.0
19141,2018,8,1,7,77.0
19141,2018,8,1,8,67.0
19141,2018,8,1,9,62.0
19141,2018,8,1,10,55.0
19141,2018,8,1,11,45.0
19141,2018,8,1,12,47.0
19141,2018,8,1,13,52.0
19141,2018,8,1,14,49.0
19141,2018,8,1,15,48.0
19141,2018,8,1,16,59.0
19141,2018,8,1,17,57.0
19141,2018,8,1,18,67.0
19141,2018,8,1,19,72.0
19141,2018,8,1,20,75.0
19141,2018,8,1,21,77.0
19141,2018,8,1,22,82.0
19141,2018,8,1,23,82.0
19141,2018,8,2,0,84.0
19141,2018,8,2,1,88.0
19141,2018,8,2,2,92.0
19141,2018,8,2,3,94.0
19141,2018,8,2,4,91.0
19141,2018,8,2,5,79.0
19141,2018,8,2,6,73.0
19141,2018,8,2,7,63.0
19141,2018,8,2,8,64.0
19141,2018,8,2,9,56.0
19141,2018,8,2,10,51.0
19141,2018,8,2,11,49.0
19141,2018,8,2,12,46.0
19141,2018,8,2,13,45.0
19141,2018,8,2,14,66.0
19141,2018,8,2,15,65.0
19141,2018,8,2,16,56.0
19141,2018,8,2,17,60.0
19141,2018,8,2,18,69.0
19141,2018,8,2,19,73.0
19141,2018,8,2,20,76.0
19141,2018,8,2,21,79.0
19141,2018,8,2,22,76.0
19141,2018,8,2,23,76.0
19141,2018,8,3,0,79.0
19141,2018,8,3,1,84.0
19141,2018,8,3,2,86.0
19141,2018,8,3,3,90.0
19141,2018,8,3,4,89.0
19141,2018,8,3,5,74.0
19141,2018,8,3,6,73.0
19141,2018,8,3,7,67.0
19141,2018,8,3,8,60.0
19141,2018,8,3,9,51.0
19141,2018,8,3,10,45.0
19141,2018,8,3,11,40.0
19141,2018,8,3,12,35.0
19141,2018,8,3,13,37.0
19141,2018,8,3,14,40.0
19141,2018,8,3,15,48.0
19141,2018,8,3,16,52.0
19141,2018,8,3,17,59.0
19141,2018,8,3,18,64.0
19141,2018,8,3,19,67.0
19141,2018,8,3,20,72.0
19141,2018,8,3,21,77.0
19141,2018,8,3,22,80.0
19141,2018,8,3,23,81.0
19141,2018,8,4,0,81.0
19141,2018,8,4,1,79.0
19141,2018,8,4,2,78.0
19141,2018,8,4,3,84.0
